UniqueIdentifier,Name,CASNumber,SRSID,SampleFractionRequired,AnalyticalMethodRequired,MethodSpeciationRequired,PickList,GroupName,DomainValueStatus,Description,ComparableName,LastChangeDate
63893,"2,2,3,4-Tetrafluoro-4-(trifluoromethyl)thiolane 1,1-dioxide",,1991889,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
20358,"2,2,3,5,5,6,6,7,7,9,9,9-Dodecafluoro-4,8-dioxononanoic acid",,1848912,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:42-04:00
63951,"2,2,3,5,5,6,6,8,8,10,10,12,12,12-Tetradecafluoro-4,7,9,11-tetraoxadodecanoic acid",919005-16-6,1989770,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
63971,"2,2,3,5,5,6,6,8,8,10,10,12,12,14,14,14-Hexadecafluoro-4,7,9,11,13-pentaoxatetradecanoic acid",919005-17-7,1989771,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
64094,"2,2,3,5,5,6-Hexafluoro-3,6-bis(trifluoromethyl)-1,4-dioxane",137373-27-4,1988703,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
16932,"2,2,3,5,6-Pentafluoro-3,6-bis(trifluoromethyl)-5-((trifluorovinyl)oxy)-1,4-dioxane",61097-79-8,1843705,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
17020,"2,2,3,5,6-Pentafluoro-5-(pentafluoroethoxy)-3,6-bis(trifluoromethyl)-1,4-dioxane",84041-66-7,1843706,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
18954,"2,2,3-Trifluoro-1-methyl-3-(trifluoromethyl)-2,3-dihydro-1H-inden-1-ol",62409-60-3,1973472,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:38-04:00
20368,"2,2,3-Trifluoro-3-(1,1,2,2-tetrafluoroethyl)oxirane",50838-64-7,1974041,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:42-04:00
17009,"2,2,3-Trifluoro-3-(heptafluoropropoxy)propan-1-ol",73320-57-7,1843707,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
20332,"2,2,3-Trifluoro-3-(heptafluoropropoxy)propanoic acid",824393-42-2,1849974,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:42-04:00
16994,"2,2,3-Trifluoro-3-(heptafluoropropyl)oxirane",74942-19-1,1843708,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
16983,"2,2,3-Trifluoro-3-(nonafluorobutyl)oxirane",72804-48-9,1843709,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
18176,"2,2,3-Trifluoro-3-(pentafluoroethoxy)propanoic acid",919005-13-3,1973912,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:34-04:00
16529,"2,2,3-Trifluoro-3-(trifluoroethenyl)-4,4-bis(trifluoromethyl)oxetane",400629-07-4,1973245,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:29-04:00
18075,"2,2,3-Trifluoro-3-(trifluoromethyl)-2,3-dihydro-1H-inden-1-one",60375-80-6,1973408,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:34-04:00
19997,"2,2,3-Trifluoro-3-[1,1,2,2,3,3-hexafluoro-3-(trifluoromethoxy)propoxy](1-14C)propanoic acid",2087970-37-2,1849950,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:41-04:00
20353,"2,2,3-Trifluoro-3-[1,1,2,2,3,3-hexafluoro-3-(trifluoromethoxy)propoxy]propanoate",2127366-90-7,1851971,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-10-29T06:19:25-04:00
64038,"2,2,3-Trifluoro-3-[1,1,2,2-tetrafluoro-2-(trifluoromethoxy)ethoxy]propanoic acid",919005-12-2,1989768,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
16621,"2,2,3-Trifluoro-3-methylbutane",87517-38-2,1973782,N,N,N,N,"Organics, Other",Accepted,,,2020-06-19T02:02:29-04:00
23170,"2,2,3-Trimethylbutane",464-06-2,,N,N,N,N,Not Assigned,Accepted,,,2020-07-20T08:50:26-04:00
9151,"2,2,3-Trimethylhexane",16747-25-4,,N,N,N,N,Not Assigned,Accepted,,,2020-01-23T08:25:27-05:00
17561,"2,2,4,4,5,5,5-Heptafluoro-3,3-bis(trifluoromethyl)pentanoic acid",558473-70-4,1973365,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:32-04:00
21512,"2,2,4,4,5,5,6,6,7,7,9,9-Dodecafluorodecane-1,10-diol",90177-97-2,1850072,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:45-04:00
65357,"2,2,4,4,5,5,7,7,8,8,10,10,11,11,13,13,14,14,15,15,16,16,16-Tricosafluoro-3,6,9,12-tetraoxahexadecan-1-ol",653573-80-9,1989508,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
20936,"2,2,4,4,5,5-Hexafluoro-1,3-bis(trifluoromethyl)imidazolidine",74554-48-6,1973624,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:44-04:00
20339,"2,2,4,4,5,5-Hexafluoro-1,3-dioxolane",21297-65-4,1851972,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:42-04:00
17017,"2,2,4,4,6,6-Hexakis(2,2,3,3,3-pentafluoropropoxy)-1,3,5,2lambda~5~,4lambda~5~,6lambda~5~-triazatriphosphinine",429-18-5,1973285,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
20146,"2,2,4,5,5-Pentafluoro-1,3-dioxolane-4-carbonyl fluoride",70411-10-8,1974057,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:41-04:00
212,"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",5566-34-7,133777,Y,N,N,N,"Organics, Other",Accepted,"Request Date: 02-MAR-07| Organics, Pesticide ; PFOA, Perfluorooctanoic Acid; 1040 ~ ",,2007-03-02T08:39:46-05:00
17774,"2,2,4,5-Tetrafluoro-3,5-bis(trifluoromethyl)-2,5-dihydrofuran",90169-96-3,1973877,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:33-04:00
63887,"2,2,4,5-Tetrafluoro-4-(trifluoromethyl)thiolane 1,1-dioxide",,1991890,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
25623,"2,2,4,6,6-Pentamethylheptane",13475-82-6,187443,N,N,N,N,Not Assigned,Accepted,,,2020-10-28T05:10:22-04:00
9116,"2,2,4-Trimethylheptane",14720-74-2,1734323,N,N,N,N,Not Assigned,Accepted,,,2020-01-23T08:25:26-05:00
23171,"2,2,4-Trimethylhexane",16747-26-5,,N,N,N,N,Not Assigned,Accepted,,,2020-07-20T08:50:26-04:00
2025,"2,2,4-Trimethylpentane",540-84-1,51961,N,N,N,N,"Organics, Other",Accepted,; Request Date: 02-MAR-07,,2007-03-02T08:39:47-05:00
9117,"2,2,5-Trimethylhexane",3522-94-9,688309,N,N,N,N,Not Assigned,Accepted,,,2020-01-23T08:25:26-05:00
225,"2,2,6-Trimethylcyclohexanone",2408-37-9,101501,Y,N,N,N,Not Assigned,Accepted,; Request Date: 02-MAR-07,,2007-03-02T08:39:47-05:00
9152,"2,2,7,7-Tetramethyloctane",1071-31-4,,N,N,N,N,Not Assigned,Accepted,,,2020-01-23T08:25:27-05:00
25636,"2,2,7-Trimethyldecane",62237-99-4,,N,N,N,N,Not Assigned,Accepted,,,2020-10-28T05:10:23-04:00
9118,"2,2,8-Trimethyldecane",62238-01-1,1734571,N,N,N,N,Not Assigned,Accepted,,,2020-01-23T08:25:26-05:00
31939,"2,2-Bis(chloromethyl)-1,3-propanediyl bis[bis(2-chloroethyl)phosphate]",38051-10-4,275784,N,N,N,N,Not Assigned,Accepted,,,2021-06-10T04:41:43-04:00
26653,"2,2-Bis(trifluoromethyl)propionyl fluoride",1735-87-1,1843717,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-12-14T12:00:00-05:00
64237,"2,2-Bis[[(.gamma.-.omega.-perfluoro-C10-20-alkyl)thio]methyl]-1,3-propanediol",,1991469,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
17037,"2,2-Diazido-2,2-dihydro-4,6-bis(pentadecafluoroheptyl)1,3,5,2-triazaphosphorine",95215-99-9,1843718,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
227,"2,2-Dibromo-3-nitrilopropionamide",10222-01-2,169524,Y,N,N,N,"Organics, Pesticide",Accepted,; Request Date: 02-MAR-07,,2007-03-02T08:39:47-05:00
17587,"2,2-Dibromo-4,4,5,5-tetrafluoro-1,3-bis(trifluoromethyl)imidazolidine",91539-76-3,1973899,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:32-04:00
17667,"2,2-Dichloro-4,4,5,5-tetrafluoro-1,3-bis(trifluoromethyl)imidazolidine",91584-67-7,1973901,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:32-04:00
63808,"2,2-Dichloro-perfluoro-1-butanesulfonic acid",,1991891,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
63801,"2,2-Dichloro-perfluoro-1-decanesulfonic acid",,1991892,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
63820,"2,2-Dichloro-perfluoro-1-dodecanesulfonic acid",,1991893,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
63814,"2,2-Dichloro-perfluoro-1-heptanesulfonic acid",,1991894,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
63832,"2,2-Dichloro-perfluoro-1-hexanesulfonic acid",,1991895,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
63825,"2,2-Dichloro-perfluoro-1-nonanesulfonic acid",,1991896,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
63844,"2,2-Dichloro-perfluoro-1-pentanesulfonic acid",,1991897,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
63837,"2,2-Dichloro-perfluoro-1-tridecanesulfonic acid",,1991898,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
63757,"2,2-Dichloro-perfluoro-1-undecanesulfonic acid",,1991899,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
229,"2,2-Dichloropropane",594-20-7,57604,Y,N,N,N,"Organics, Other",Accepted,; Request Date: 02-MAR-07,,2007-03-02T08:39:47-05:00
18747,"2,2-Dichlorotrifluoroethyl 1,1,3-trichlorotetrafluoropropyl ether",61196-11-0,1973421,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:37-04:00
22130,"2,2-Dichlorotrifluoroethyl chlorodifluoromethyl ether",37136-24-6,1973195,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:47-04:00
18384,"2,2-Difluoro-2-(1,1,2,2-tetrafluoro-2-iodoethoxy)acetamide",98296-52-7,1973961,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:35-04:00
19233,"2,2-Difluoro-2-(2,3,3,4,4,5,5-heptafluorooxolan-2-yl)-1-(morpholin-4-yl)ethan-1-one",5190-45-4,1849389,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:38-04:00
64797,"2,2-Difluoro-2-[1,1,2,2-tetrafluoro-2-(perfluoroethoxy)ethoxy]-N-[3-(trimethoxysilyl)propyl]acetamide",154380-35-5,1988836,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
63751,"2,2-Difluoro-2-[1,1,2,2-tetrafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(trifluoromethyl)propoxy]ethoxy]ethanol",,1991900,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
20318,"2,2-Difluoro-3-(heptafluoropropoxy)propanoic acid",824393-34-2,1849975,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:42-04:00
16719,"2,2-Difluoro-3-(nonafluorobutoxy)propanoic acid",824393-39-7,1843720,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
18893,"2,2-Difluoro-3-(nonafluorobutoxy)propanoyl fluoride",824393-38-6,1849365,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:37-04:00
16708,"2,2-Difluoroethyl nonafluorobutane-1-sulfonate",1036375-28-6,1843721,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
22866,"2,2-Dimethyl-N~1~-[(7S)-6-oxo-6,7-dihydro-5H-dibenzo[b,d]azepin-7-yl]-N~3~-(2,2,3,3,3-pentafluoropropyl)propanediamide",847925-91-1,1973754,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
4857,"2,2-Dimethylbutane",75-83-2,5918,N,N,N,N,Not Assigned,Accepted,; Request Date: 23-APR-14,,2014-04-23T09:00:00-04:00
31418,"2,2-Dimethyldecane",17302-37-3,,N,N,N,N,Not Assigned,Accepted,,,2021-01-05T03:59:10-05:00
23172,"2,2-Dimethylheptane",1071-26-7,,N,N,N,N,Not Assigned,Accepted,,,2020-07-20T08:50:26-04:00
4858,"2,2-Dimethylhexane",590-73-8,685941,N,N,N,N,Not Assigned,Accepted,; Request Date: 23-APR-14,,2014-04-23T09:00:00-04:00
230,"2,2-Dimethylpropane",463-82-1,46524,Y,N,N,N,"Organics, PCBs",Accepted,; Request Date: 02-MAR-07,,2007-03-02T08:39:48-05:00
31524,"2,2-Oxybis(2-chloropropane)",,,N,N,N,N,Not Assigned,Accepted,,,2021-01-21T02:01:50-05:00
30832,"2,2-Propanediamine, 1,1,1,3,3,3-hexafluoro-",1737-80-0,91769,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-12-23T11:32:44-05:00
31011,"2,2-Propanediamine, 1,1,1,3,3,3-hexafluoro-N,N'-bis[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]-",34451-14-4,1983793,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-12-23T11:32:45-05:00
26509,"2,2-Propanediol, 1,1,1,3,3,3-hexafluoro-",677-71-4,686253,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-12-14T12:00:00-05:00
26250,"2,2-bis(Trifluoromethyl)-2-hydroxyacetic acid",662-22-6,1843715,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-12-14T12:00:00-05:00
26543,"2,2-bis(Trifluoromethyl)perfluoropropane",374-51-6,1843716,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-12-14T12:00:00-05:00
16733,"2,2-difluoro-2-[1,1,2,2-tetrafluoro-2-(trifluoromethoxy)ethoxy]acetyl Chloride",261503-81-5,1843719,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
31506,"2,2`,3,3`,4,5,5`,6,6`-Nonabromodiphenyl ether",,,N,N,N,N,Not Assigned,Accepted,,,2021-01-21T02:01:50-05:00
31507,"2,2`,3,3`,4,5`,6,6`-Octabromodiphenyl ether",,,N,N,N,N,Not Assigned,Accepted,,,2021-01-21T02:01:50-05:00
31508,"2,2`,3,4,4`,5,5`,6-Octabromodiphenyl ether",,,N,N,N,N,Not Assigned,Accepted,,,2021-01-21T02:01:50-05:00
31515,"2,2`,3,4,4`,5,5`-Heptabromodiphenyl ether",,,N,N,N,N,Not Assigned,Accepted,,,2021-01-21T02:01:50-05:00
31516,"2,2`,3,4,4`,5,6,6`-Octabromodiphenyl ether",,,N,N,N,N,Not Assigned,Accepted,,,2021-01-21T02:01:50-05:00
31518,"2,2`,3,4,4`,6-Hexabromodiphenyl ether",,,N,N,N,N,Not Assigned,Accepted,,,2021-01-21T02:01:50-05:00
31517,"2,2`,3,4,4`,6`-Hexabromodiphenyl ether",,,N,N,N,N,Not Assigned,Accepted,,,2021-01-21T02:01:50-05:00
302,"2,3 Dimethyloctane",7146-60-3,689364,Y,N,N,N,"Organics, PCBs",Accepted,; Request Date: 02-MAR-07,,2007-03-02T08:39:48-05:00
274,"2,3',4',5',6-Pentachlorobiphenyl",74472-39-2,740282,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:50-05:00
2496,"2,3',4',5'-Tetrachlorobiphenyl",70362-48-0,740076,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:51-05:00
270,"2,3',4',5,5'-Pentachlorobiphenyl",70424-70-3,740134,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:50-05:00
2493,"2,3',4',5-Tetrachlorobiphenyl",32598-11-1,692137,Y,N,N,N,"Organics, PCBs",Accepted,; Request Date: 02-MAR-07,,2007-03-02T08:39:51-05:00
3252,"2,3',4',6-TEBDE",189084-62-6,1735427,N,N,N,N,"Organics, PCBs",Accepted,; Request Date: 22-JUL-14,,2014-07-22T12:00:00-04:00
6254,"2,3',4',6-Tetrabromodiphenyl ether***retired***use 2,3',4',6-TEBDE",189084-62-6,1735427,Y,N,N,N,"Organics, Other",Deprecated,"Kalispel Natural Resources DepartmentRequest Date: 06-APR-17| Not Assigned ; PFOA, Perfluorooctanoic Acid; 1040 ~ ","2,3',4',6-TEBDE",2017-04-06T07:29:38-04:00
2494,"2,3',4',6-Tetrachlorobiphenyl",41464-46-4,739425,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:51-05:00
287,"2,3',4'-Trichlorobiphenyl",38444-86-9,692939,Y,N,N,N,"Organics, PCBs",Accepted,; Request Date: 02-MAR-07,,2007-03-02T08:39:52-05:00
262,"2,3',4,4',5',6-Hexachlorobiphenyl",59291-65-5,739797,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:50-05:00
263,"2,3',4,4',5'-Pentachlorobiphenyl",65510-44-3,739888,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:50-05:00
260,"2,3',4,4',5,5'-Hexachlorobiphenyl",52663-72-6,739557,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:50-05:00
7676,"2,3',4,4',5,5'-Hexachlorobiphenyl-C13",208263-69-8,,N,N,N,N,Not Assigned,Accepted,; Request Date: 28-JAN-19,,2019-01-28T03:58:24-05:00
265,"2,3',4,4',5-Pentachlorobiphenyl",31508-00-6,692087,Y,Y,N,N,"Organics, PCBs",Accepted,Nemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:50-05:00
7671,"2,3',4,4',5-Pentachlorobiphenyl-C13",104130-40-7,,N,N,N,N,"Organics, Other",Accepted,"Request Date: 28-JAN-19| Not Assigned ; PFOA, Perfluorooctanoic Acid; 1040 ~ ",,2019-01-28T03:58:24-05:00
3248,"2,3',4,4',6-PEBDE***retired***use BDE-119",189084-66-0,1736146,Y,N,N,N,"Organics, PCBs",Deprecated,; Request Date: 06-APR-17,BDE-119,2017-04-06T07:22:32-04:00
3445,"2,3',4,4',6-PEBDE/2,3',4,5,5'-PEBDE***retired***use BDE-119/120",,,Y,N,N,N,"Organics, PCBs",Deprecated,; Request Date: 29-MAY-19,BDE-119/120,2019-05-29T10:15:58-04:00
6255,"2,3',4,4',6-Pentabromodiphenyl ether***retired***use BDE-119",189084-66-0,17026576,Y,N,N,N,"Organics, Other",Deprecated,"Request Date: 7-Apr-17 Kalispel Natural Resources Department (nps.gov cas# review)| Not Assigned ; PFOA, Perfluorooctanoic Acid; 1040 ~ ",BDE-119,2019-10-31T10:44:01-04:00
267,"2,3',4,4',6-Pentachlorobiphenyl",56558-17-9,739755,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:50-05:00
268,"2,3',4,4'-Tetrachlorobiphenyl",32598-10-0,692129,Y,Y,N,N,"Organics, PCBs",Accepted,Nemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:50-05:00
6097,"2,3',4,4'-tetrabrominated diphenyl ether",189084-61-5,,N,N,N,N,"Organics, PCBs",Accepted,Request Date: 22-Nov-16 GLENDA BioData 1978 (nps.gov cas# review),,2019-10-31T10:44:01-04:00
272,"2,3',4,5',6-Pentachlorobiphenyl",56558-18-0,739763,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:50-05:00
275,"2,3',4,5'-Tetrachlorobiphenyl",73575-52-7,740142,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:51-05:00
3250,"2,3',4,5,5'-PEBDE",417727-71-0,,Y,N,N,N,"Organics, PCBs",Accepted,Request Date: 30-May-19 (nps.gov cas# review),,2019-10-31T10:44:01-04:00
269,"2,3',4,5,5'-Pentachlorobiphenyl",68194-12-7,695445,Y,Y,N,N,"Organics, PCBs",Accepted,Nemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:50-05:00
277,"2,3',4,5-Tetrachlorobiphenyl",73575-53-8,740159,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:51-05:00
283,"2,3',4,6-Tetrachlorobiphenyl",60233-24-1,739847,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:51-05:00
3253,"2,3',4-TRBDE",147217-77-4,1735411,N,N,N,N,"Organics, PCBs",Accepted,; Request Date: 22-JUL-14,,2014-07-22T12:00:00-04:00
289,"2,3',4-Trichlorobiphenyl",55712-37-3,739714,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:52-05:00
291,"2,3',5',6-Tetrachlorobiphenyl",74338-23-1,740209,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:52-05:00
293,"2,3',5'-Trichlorobiphenyl",37680-68-5,739201,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:52-05:00
2495,"2,3',5,5'-Tetrachlorobiphenyl",41464-42-0,739409,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:52-05:00
295,"2,3',5-Trichlorobiphenyl",38444-81-4,692905,Y,Y,N,N,"Organics, PCBs",Accepted,Nemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:52-05:00
2481,"2,3',6-Trichlorobiphenyl",38444-76-7,739268,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:52-05:00
300,"2,3'-Dichlorobiphenyl",25569-80-6,711341,Y,Y,N,N,"Organics, PCBs",Accepted,Nemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:53-05:00
244,"2,3,3',4',5',6-Hexachlorobiphenyl",74472-45-0,740340,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:48-05:00
246,"2,3,3',4',5'-Pentachlorobiphenyl",76842-07-4,740431,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:49-05:00
239,"2,3,3',4',5,5',6-Heptachlorobiphenyl",69782-91-8,740027,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:48-05:00
241,"2,3,3',4',5,5'-Hexachlorobiphenyl",39635-34-2,739318,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:48-05:00
2503,"2,3,3',4',5,6-Hexachlorobiphenyl",74472-44-9,740332,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:48-05:00
16196,"2,3,3',4',5-Pentachloro-4-biphenylol",,,N,N,N,N,Not Assigned,Accepted,NWIS,,2021-10-01T12:00:00-04:00
248,"2,3,3',4',5-Pentachlorobiphenyl",70424-68-9,740118,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:49-05:00
250,"2,3,3',4',6-Pentachlorobiphenyl",38380-03-9,739227,N,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 22-JUL-14,,2014-07-22T12:00:00-04:00
2490,"2,3,3',4'-Tetrachlorobiphenyl",41464-43-1,739417,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:49-05:00
233,"2,3,3',4,4',5',6-Heptachlorobiphenyl",74472-50-7,740381,Y,Y,N,N,"Organics, PCBs",Accepted,PCB CongenerNemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:48-05:00
234,"2,3,3',4,4',5'-Hexachlorobiphenyl",69782-90-7,740019,Y,N,N,N,"Organics, PCBs",Accepted,PCB Congener; Request Date: 02-MAR-07,,2007-03-02T08:39:48-05:00
3243,"2,3,3',4,4',5,5',6-OCBDE***retired***use BDE-205",446255-56-7,,N,N,N,N,"Organics, PCBs",Deprecated,Request Date: 23-Jul-14 (nps.gov cas# review),BDE-205,2019-10-31T10:44:01-04:00
231,"2,3,3',4,4',5,5',6-Octachlorobiphenyl",74472-53-0,740415,Y,Y,N,N,"Organics, PCBs",Accepted,Nemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:48-05:00
