TRANSECT,Group,Species,DEPTH_CLASS,Epi_Density_m3,DeepTow_Density_m3,Hypo_Density_m3,Total_Density_m3,Latitude,Longitude
LUD12,Rotifera,Keratella spp.,S,85.75744276,NA,NA,85.75744276,43.927633,-86.610617
LUD12,Rotifera,Lecane spp.,S,12.32008333,NA,NA,12.32008333,43.927633,-86.610617
LUD12,Rotifera,Ploesoma truncatum,S,183.5933986,NA,NA,183.5933986,43.927633,-86.610617
LUD12,Rotifera,Polyarthra spp.,S,1137.795931,1757.235155,1443.360415,2895.031085,43.927633,-86.610617
LUD12,Rotifera,Synchaeta spp.,S,158.9532319,NA,NA,158.9532319,43.927633,-86.610617
LUD12,Nauplii,Copepod nauplii,S,4086.64411,6642.668105,5515.318005,10729.31221,43.927633,-86.610617
LUD12,Mollusks,Dreissenid Veligers,S,61.1172761,708.9416008,692.0816626,770.0588769,43.927633,-86.610617
LUD12,Cladoceran,Bythotrephes longimanus,D,0.724710784,0.481236521,0.281316304,1.205947304,43.927633,-86.610617
LUD12,Cladoceran,Bosmina longirostris,D,67.3981029,112.2083154,93.61573525,179.6064183,43.927633,-86.610617
LUD12,Cladoceran,Daphnia galeata mendotae,D,2.174132352,375.4446921,374.8449314,377.6188244,43.927633,-86.610617
LUD12,ImmatureCyclopoid,Cyclops copepodites,D,32.12884475,3515.833813,3506.970683,3547.962657,43.927633,-86.610617
LUD12,ImmatureCalanoid,Calanoid copepodites,D,55.07801957,3873.55296,3858.359023,3928.630979,43.927633,-86.610617
LUD12,ImmatureCalanoid,Epischura copepodites,D,38.40967154,34.32820513,23.73243367,72.73787667,43.927633,-86.610617
LUD12,AdultCyclopoid,Diacyclops thomasi,D,7.247107838,1147.267865,1145.268663,1154.514973,43.927633,-86.610617
LUD12,AdultCyclopoid,Diacyclops thomasi,D,7.247107838,1147.267865,1145.268663,1154.514973,43.927633,-86.610617
LUD12,AdultCyclopoid,Diacyclops thomasi,D,7.247107838,1147.267865,1145.268663,1154.514973,43.927633,-86.610617
LUD12,AdultCyclopoid,Diacyclops thomasi,D,7.247107838,1147.267865,1145.268663,1154.514973,43.927633,-86.610617
LUD12,AdultCalanoid,Leptodiaptomus ashlandi,D,0.966281045,1016.692356,1016.425795,1017.658637,43.927633,-86.610617
LUD12,AdultCalanoid,Leptodiaptomus ashlandi,D,0.966281045,1016.692356,1016.425795,1017.658637,43.927633,-86.610617
LUD12,AdultCalanoid,Leptodiaptomus minutus,D,19.80876143,1073.157441,1067.692955,1092.966202,43.927633,-86.610617
LUD12,AdultCalanoid,Leptodiaptomus minutus,D,19.80876143,1073.157441,1067.692955,1092.966202,43.927633,-86.610617
LUD12,AdultCalanoid,Leptodiaptomus minutus,D,19.80876143,1073.157441,1067.692955,1092.966202,43.927633,-86.610617
LUD12,AdultCalanoid,Leptodiaptomus minutus,D,19.80876143,1073.157441,1067.692955,1092.966202,43.927633,-86.610617
LUD12,AdultCalanoid,Epischura lacustris,D,0.966281045,17.16410256,16.89754228,18.13038361,43.927633,-86.610617
LUD12,Rotifera,Colurella spp.,D,NA,162.0162952,NA,162.0162952,43.927633,-86.610617
LUD12,Rotifera,Collotheca spp.,D,440.3825863,1647.433022,1525.94817,2087.815608,43.927633,-86.610617
LUD12,Rotifera,Conochilus unicornis,D,379.2653102,31523.55869,31418.93377,31902.824,43.927633,-86.610617
LUD12,Rotifera,Gastropus spp.,D,61.1172761,501.4484544,484.5885161,562.5657305,43.927633,-86.610617
LUD12,Rotifera,Polyarthra spp.,D,1137.795931,1757.235155,1443.360415,2895.031085,43.927633,-86.610617
LUD12,Nauplii,Copepod nauplii,D,4086.64411,6642.668105,5515.318005,10729.31221,43.927633,-86.610617
LUD12,Mollusks,Dreissenid Veligers,D,61.1172761,708.9416008,692.0816626,770.0588769,43.927633,-86.610617
LUD17,Cladoceran,Bythotrephes longimanus,S,1.050441007,0.643268308,0.305626555,1.693709315,43.92175,-86.670033
LUD17,Cladoceran,Bosmina longirostris,S,13.39312284,NA,NA,13.39312284,43.92175,-86.670033
LUD17,Cladoceran,Daphnia galeata mendotae,S,23.37231241,NA,NA,23.37231241,43.92175,-86.670033
LUD17,ImmatureCyclopoid,Cyclops copepodites,S,76.68219352,3198.187077,3173.539229,3274.869271,43.92175,-86.670033
LUD17,ImmatureCalanoid,Calanoid copepodites,S,166.7575099,4726.949948,4673.34932,4893.707458,43.92175,-86.670033
LUD17,ImmatureCalanoid,Epischura copepodites,S,39.91675827,15.93875918,3.108372593,55.85551745,43.92175,-86.670033
LUD17,AdultCyclopoid,Diacyclops thomasi,S,16.80705611,NA,NA,16.80705611,43.92175,-86.670033
LUD17,AdultCyclopoid,Diacyclops thomasi,S,16.80705611,NA,NA,16.80705611,43.92175,-86.670033
LUD17,AdultCalanoid,Leptodiaptomus ashlandi,S,1.575661511,223.8573711,223.3509085,225.4330326,43.92175,-86.670033
LUD17,AdultCalanoid,Leptodiaptomus minutus,S,43.33069154,627.2580743,613.330352,670.5887658,43.92175,-86.670033
LUD17,AdultCalanoid,Leptodiaptomus minutus,S,43.33069154,627.2580743,613.330352,670.5887658,43.92175,-86.670033
LUD17,AdultCalanoid,Leptodiaptomus minutus,S,43.33069154,627.2580743,613.330352,670.5887658,43.92175,-86.670033
LUD17,AdultCalanoid,Leptodiaptomus minutus,S,43.33069154,627.2580743,613.330352,670.5887658,43.92175,-86.670033
LUD17,AdultCalanoid,Leptodiaptomus sicilis,S,3.413933273,NA,NA,3.413933273,43.92175,-86.670033
LUD17,AdultCalanoid,Epischura lacustris,S,3.151323021,NA,NA,3.151323021,43.92175,-86.670033
LUD17,AdultCalanoid,Epischura lacustris,S,3.151323021,NA,NA,3.151323021,43.92175,-86.670033
LUD17,Rotifera,Ascomorpha spp.,S,15.75661511,86.76974728,81.705121,102.5263624,43.92175,-86.670033
LUD17,Rotifera,Asplanchna spp,S,15.75661511,NA,NA,15.75661511,43.92175,-86.670033
LUD17,Rotifera,Collotheca spp.,S,330.626307,1057.318675,951.0459336,1387.944982,43.92175,-86.670033
LUD17,Rotifera,Conochilus unicornis,S,1133.951067,21889.70577,21525.2215,23023.65684,43.92175,-86.670033
LUD17,Rotifera,Gastropus spp.,S,15.75661511,572.4373196,567.3726933,588.1939347,43.92175,-86.670033
LUD17,Rotifera,Kellicottia longispina,S,157.5661511,543.2043487,492.5580859,700.7704998,43.92175,-86.670033
LUD17,Rotifera,Keratella spp.,S,126.0529209,289.0418929,248.5248827,415.0948138,43.92175,-86.670033
LUD17,Rotifera,Ploesoma truncatum,S,110.2963057,NA,NA,110.2963057,43.92175,-86.670033
LUD17,Rotifera,Polyarthra spp.,S,1842.736137,2481.87208,1889.564036,4324.608216,43.92175,-86.670033
LUD17,Rotifera,Synchaeta spp.,S,141.809536,NA,NA,141.809536,43.92175,-86.670033
LUD17,Nauplii,Copepod nauplii,S,3953.07212,4385.517425,3114.887101,8338.589545,43.92175,-86.670033
LUD17,Cladoceran,Bythotrephes longimanus,D,1.050441007,0.643268308,0.305626555,1.693709315,43.92175,-86.670033
LUD17,ImmatureCyclopoid,Cyclops copepodites,D,76.68219352,3198.187077,3173.539229,3274.869271,43.92175,-86.670033
LUD17,ImmatureCalanoid,Calanoid copepodites,D,166.7575099,4726.949948,4673.34932,4893.707458,43.92175,-86.670033
LUD17,ImmatureCalanoid,Epischura copepodites,D,39.91675827,15.93875918,3.108372593,55.85551745,43.92175,-86.670033
LUD17,AdultCalanoid,Leptodiaptomus ashlandi,D,1.575661511,223.8573711,223.3509085,225.4330326,43.92175,-86.670033
LUD17,AdultCalanoid,Leptodiaptomus minutus,D,43.33069154,627.2580743,613.330352,670.5887658,43.92175,-86.670033
LUD17,AdultCalanoid,Leptodiaptomus minutus,D,43.33069154,627.2580743,613.330352,670.5887658,43.92175,-86.670033
LUD17,AdultCalanoid,Leptodiaptomus minutus,D,43.33069154,627.2580743,613.330352,670.5887658,43.92175,-86.670033
LUD17,AdultCalanoid,Leptodiaptomus minutus,D,43.33069154,627.2580743,613.330352,670.5887658,43.92175,-86.670033
LUD17,AdultCalanoid,Skistodiaptomus oregonensis,D,NA,63.75503672,NA,63.75503672,43.92175,-86.670033
LUD17,AdultCalanoid,Skistodiaptomus oregonensis,D,NA,63.75503672,NA,63.75503672,43.92175,-86.670033
LUD17,Rotifera,Ascomorpha spp.,D,15.75661511,86.76974728,81.705121,102.5263624,43.92175,-86.670033
LUD17,Rotifera,Collotheca spp.,D,330.626307,1057.318675,951.0459336,1387.944982,43.92175,-86.670033
LUD17,Rotifera,Conochilus unicornis,D,1133.951067,21889.70577,21525.2215,23023.65684,43.92175,-86.670033
LUD17,Rotifera,Gastropus spp.,D,15.75661511,572.4373196,567.3726933,588.1939347,43.92175,-86.670033
LUD17,Rotifera,Kellicottia longispina,D,157.5661511,543.2043487,492.5580859,700.7704998,43.92175,-86.670033
LUD17,Rotifera,Keratella spp.,D,126.0529209,289.0418929,248.5248827,415.0948138,43.92175,-86.670033
LUD17,Rotifera,Polyarthra spp.,D,1842.736137,2481.87208,1889.564036,4324.608216,43.92175,-86.670033
LUD17,Nauplii,Copepod nauplii,D,3953.07212,4385.517425,3114.887101,8338.589545,43.92175,-86.670033
LUD17,Mollusks,Dreissenid Veligers,D,NA,1718.312598,NA,1718.312598,43.92175,-86.670033
LUD23,Cladoceran,Bythotrephes longimanus,S,1.9786953,1.060015339,0.532363259,3.038710639,43.9102,-86.741783
LUD23,Cladoceran,Bosmina longirostris,S,3.9573906,NA,NA,3.9573906,43.9102,-86.741783
LUD23,Cladoceran,Daphnia galeata mendotae,S,26.57105117,363.3732583,356.2876446,389.9443095,43.9102,-86.741783
LUD23,ImmatureCyclopoid,Cyclops copepodites,S,77.45178745,1954.385615,1933.731805,2031.837402,43.9102,-86.741783
LUD23,ImmatureCalanoid,Calanoid copepodites,S,161.1223316,3484.411755,3441.4458,3645.534087,43.9102,-86.741783
LUD23,ImmatureCalanoid,Epischura copepodites,S,134.5512804,28.3377434,28.3377434,162.8890238,43.9102,-86.741783
LUD23,AdultCyclopoid,Diacyclops thomasi,S,8.197451957,NA,NA,8.197451957,43.9102,-86.741783
LUD23,AdultCyclopoid,Diacyclops thomasi,S,8.197451957,NA,NA,8.197451957,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus ashlandi,S,10.17614726,701.3061484,698.5925092,711.4822957,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus ashlandi,S,10.17614726,701.3061484,698.5925092,711.4822957,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus ashlandi,S,10.17614726,701.3061484,698.5925092,711.4822957,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus ashlandi,S,10.17614726,701.3061484,698.5925092,711.4822957,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus minutus,S,57.09949294,501.1752524,485.9487209,558.2747453,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus minutus,S,57.09949294,501.1752524,485.9487209,558.2747453,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus minutus,S,57.09949294,501.1752524,485.9487209,558.2747453,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus minutus,S,57.09949294,501.1752524,485.9487209,558.2747453,43.9102,-86.741783
LUD23,AdultCalanoid,Skistodiaptomus oregonensis,S,5.9360859,52.29409007,50.71113383,58.23017597,43.9102,-86.741783
LUD23,AdultCalanoid,Skistodiaptomus oregonensis,S,5.9360859,52.29409007,50.71113383,58.23017597,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus sicilis,S,10.17614726,NA,NA,10.17614726,43.9102,-86.741783
LUD23,AdultCalanoid,Epischura lacustris,S,3.9573906,13.07352252,12.01821836,17.03091312,43.9102,-86.741783
LUD23,AdultCalanoid,Epischura lacustris,S,3.9573906,13.07352252,12.01821836,17.03091312,43.9102,-86.741783
LUD23,Rotifera,Ascomorpha spp.,S,57.66483445,NA,NA,57.66483445,43.9102,-86.741783
LUD23,Rotifera,Collotheca spp.,S,317.721931,3170.223209,3085.497361,3487.94514,43.9102,-86.741783
LUD23,Rotifera,Conochilus unicornis,S,1443.599557,27159.57169,26774.6118,28603.17124,43.9102,-86.741783
LUD23,Rotifera,Gastropus spp.,S,14.41620861,214.3351016,210.4907793,228.7513102,43.9102,-86.741783
LUD23,Rotifera,Kellicottia longispina,S,230.9420086,NA,NA,230.9420086,43.9102,-86.741783
LUD23,Rotifera,Keratella spp.,S,86.49725168,NA,NA,86.49725168,43.9102,-86.741783
LUD23,Rotifera,Ploesoma truncatum,S,187.6933827,NA,NA,187.6933827,43.9102,-86.741783
LUD23,Rotifera,Polyarthra spp.,S,2944.863948,2211.686671,1426.389619,5156.550619,43.9102,-86.741783
LUD23,Rotifera,Synchaeta spp.,S,28.83241723,NA,NA,28.83241723,43.9102,-86.741783
LUD23,Nauplii,Copepod nauplii,S,3984.244322,5224.956942,4162.49179,9209.201264,43.9102,-86.741783
LUD23,Mollusks,Dreissenid Veligers,S,230.9420086,1442.044867,1380.460332,1672.986876,43.9102,-86.741783
LUD23,Cladoceran,Bythotrephes longimanus,D,1.9786953,1.060015339,0.532363259,3.038710639,43.9102,-86.741783
LUD23,Cladoceran,Daphnia galeata mendotae,D,26.57105117,363.3732583,356.2876446,389.9443095,43.9102,-86.741783
LUD23,ImmatureCyclopoid,Cyclops copepodites,D,77.45178745,1954.385615,1933.731805,2031.837402,43.9102,-86.741783
LUD23,ImmatureCalanoid,Calanoid copepodites,D,161.1223316,3484.411755,3441.4458,3645.534087,43.9102,-86.741783
LUD23,ImmatureCalanoid,Epischura copepodites,D,134.5512804,28.3377434,28.3377434,162.8890238,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus ashlandi,D,10.17614726,701.3061484,698.5925092,711.4822957,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus ashlandi,D,10.17614726,701.3061484,698.5925092,711.4822957,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus ashlandi,D,10.17614726,701.3061484,698.5925092,711.4822957,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus ashlandi,D,10.17614726,701.3061484,698.5925092,711.4822957,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus minutus,D,57.09949294,501.1752524,485.9487209,558.2747453,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus minutus,D,57.09949294,501.1752524,485.9487209,558.2747453,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus minutus,D,57.09949294,501.1752524,485.9487209,558.2747453,43.9102,-86.741783
LUD23,AdultCalanoid,Leptodiaptomus minutus,D,57.09949294,501.1752524,485.9487209,558.2747453,43.9102,-86.741783
LUD23,AdultCalanoid,Skistodiaptomus oregonensis,D,5.9360859,52.29409007,50.71113383,58.23017597,43.9102,-86.741783
LUD23,AdultCalanoid,Skistodiaptomus oregonensis,D,5.9360859,52.29409007,50.71113383,58.23017597,43.9102,-86.741783
LUD23,AdultCalanoid,Epischura lacustris,D,3.9573906,13.07352252,12.01821836,17.03091312,43.9102,-86.741783
LUD23,AdultCalanoid,Epischura lacustris,D,3.9573906,13.07352252,12.01821836,17.03091312,43.9102,-86.741783
LUD23,Rotifera,Collotheca spp.,D,317.721931,3170.223209,3085.497361,3487.94514,43.9102,-86.741783
LUD23,Rotifera,Conochilus unicornis,D,1443.599557,27159.57169,26774.6118,28603.17124,43.9102,-86.741783
LUD23,Rotifera,Gastropus spp.,D,14.41620861,214.3351016,210.4907793,228.7513102,43.9102,-86.741783
LUD23,Rotifera,Polyarthra spp.,D,2944.863948,2211.686671,1426.389619,5156.550619,43.9102,-86.741783
LUD23,Nauplii,Copepod nauplii,D,3984.244322,5224.956942,4162.49179,9209.201264,43.9102,-86.741783
LUD23,Mollusks,Dreissenid Veligers,D,230.9420086,1442.044867,1380.460332,1672.986876,43.9102,-86.741783
LUD30,Cladoceran,Bythotrephes longimanus,S,0.983202633,2.464610878,2.14858146,3.447813511,43.900133,-86.826767
LUD30,Cladoceran,Bosmina longirostris,S,1.17984316,NA,NA,1.17984316,43.900133,-86.826767
LUD30,Cladoceran,Daphnia galeata mendotae,S,7.079058961,NA,NA,7.079058961,43.900133,-86.826767
LUD30,ImmatureCyclopoid,Cyclops copepodites,S,12.97827476,3038.326079,3034.15449,3051.304353,43.900133,-86.826767
LUD30,ImmatureCalanoid,Calanoid copepodites,S,35.39529481,3096.706549,3085.32949,3132.101843,43.900133,-86.826767
LUD30,ImmatureCalanoid,Epischura copepodites,S,33.62553007,14.556608,3.748401904,48.18213806,43.900133,-86.826767
LUD30,AdultCyclopoid,Diacyclops thomasi,S,2.163045794,NA,NA,2.163045794,43.900133,-86.826767
LUD30,AdultCyclopoid,Diacyclops thomasi,S,2.163045794,NA,NA,2.163045794,43.900133,-86.826767
LUD30,AdultCalanoid,Leptodiaptomus ashlandi,S,0.58992158,280.5035255,280.3139079,281.0934471,43.900133,-86.826767
LUD30,AdultCalanoid,Leptodiaptomus minutus,S,19.46741214,265.5618221,259.3044396,285.0292342,43.900133,-86.826767
LUD30,AdultCalanoid,Leptodiaptomus minutus,S,19.46741214,265.5618221,259.3044396,285.0292342,43.900133,-86.826767
LUD30,AdultCalanoid,Leptodiaptomus minutus,S,19.46741214,265.5618221,259.3044396,285.0292342,43.900133,-86.826767
LUD30,AdultCalanoid,Leptodiaptomus minutus,S,19.46741214,265.5618221,259.3044396,285.0292342,43.900133,-86.826767
LUD30,AdultCalanoid,Leptodiaptomus sicilis,S,1.17984316,NA,NA,1.17984316,43.900133,-86.826767
LUD30,Rotifera,Ascomorpha spp.,S,34.6087327,NA,NA,34.6087327,43.900133,-86.826767
LUD30,Rotifera,Collotheca spp.,S,219.2541873,1157.365864,1086.891304,1376.620052,43.900133,-86.826767
LUD30,Rotifera,Conochilus unicornis,S,600.1468875,35738.32109,35545.41673,36338.46798,43.900133,-86.826767
LUD30,Rotifera,Gastropus spp.,S,11.60179108,601.2880351,597.5588879,612.8898261,43.900133,-86.826767
LUD30,Rotifera,Kellicottia longispina,S,57.61567432,3103.715286,3085.195962,3161.33096,43.900133,-86.826767
LUD30,Rotifera,Keratella spp.,S,92.22440702,809.7787115,780.1351521,902.0031185,43.900133,-86.826767
LUD30,Rotifera,Ploesoma truncatum,S,230.8559783,114.6814249,40.47771758,345.5374032,43.900133,-86.826767
LUD30,Rotifera,Polyarthra spp.,S,2019.498209,2648.532464,1999.40804,4668.030674,43.900133,-86.826767
LUD30,Rotifera,Synchaeta spp.,S,23.00694162,NA,NA,23.00694162,43.900133,-86.826767
LUD30,Nauplii,Copepod nauplii,S,3762.126557,4991.145104,3781.890139,8753.27166,43.900133,-86.826767
LUD30,Mollusks,Dreissenid Veligers,S,34.6087327,3037.863964,3026.739728,3072.472697,43.900133,-86.826767
LUD30,Cladoceran,Bythotrephes longimanus,D,0.983202633,2.464610878,2.14858146,3.447813511,43.900133,-86.826767
LUD30,ImmatureCyclopoid,Cyclops copepodites,D,12.97827476,3038.326079,3034.15449,3051.304353,43.900133,-86.826767
LUD30,ImmatureCalanoid,Calanoid copepodites,D,35.39529481,3096.706549,3085.32949,3132.101843,43.900133,-86.826767
LUD30,ImmatureCalanoid,Epischura copepodites,D,33.62553007,14.556608,3.748401904,48.18213806,43.900133,-86.826767
LUD30,AdultCalanoid,Leptodiaptomus ashlandi,D,0.58992158,280.5035255,280.3139079,281.0934471,43.900133,-86.826767
LUD30,AdultCalanoid,Leptodiaptomus minutus,D,19.46741214,265.5618221,259.3044396,285.0292342,43.900133,-86.826767
LUD30,AdultCalanoid,Leptodiaptomus minutus,D,19.46741214,265.5618221,259.3044396,285.0292342,43.900133,-86.826767
LUD30,AdultCalanoid,Leptodiaptomus minutus,D,19.46741214,265.5618221,259.3044396,285.0292342,43.900133,-86.826767
LUD30,AdultCalanoid,Leptodiaptomus minutus,D,19.46741214,265.5618221,259.3044396,285.0292342,43.900133,-86.826767
LUD30,AdultCalanoid,Skistodiaptomus oregonensis,D,NA,98.58443511,NA,98.58443511,43.900133,-86.826767
LUD30,AdultCalanoid,Skistodiaptomus oregonensis,D,NA,98.58443511,NA,98.58443511,43.900133,-86.826767
LUD30,AdultCalanoid,Epischura lacustris,D,NA,2.464610878,NA,2.464610878,43.900133,-86.826767
LUD30,Rotifera,Collotheca spp.,D,219.2541873,1157.365864,1086.891304,1376.620052,43.900133,-86.826767
LUD30,Rotifera,Conochilus unicornis,D,600.1468875,35738.32109,35545.41673,36338.46798,43.900133,-86.826767
LUD30,Rotifera,Gastropus spp.,D,11.60179108,601.2880351,597.5588879,612.8898261,43.900133,-86.826767
LUD30,Rotifera,Kellicottia longispina,D,57.61567432,3103.715286,3085.195962,3161.33096,43.900133,-86.826767
LUD30,Rotifera,Keratella spp.,D,92.22440702,809.7787115,780.1351521,902.0031185,43.900133,-86.826767
LUD30,Rotifera,Ploesoma truncatum,D,230.8559783,114.6814249,40.47771758,345.5374032,43.900133,-86.826767
LUD30,Rotifera,Polyarthra spp.,D,2019.498209,2648.532464,1999.40804,4668.030674,43.900133,-86.826767
LUD30,Nauplii,Copepod nauplii,D,3762.126557,4991.145104,3781.890139,8753.27166,43.900133,-86.826767
LUD30,Mollusks,Dreissenid Veligers,D,34.6087327,3037.863964,3026.739728,3072.472697,43.900133,-86.826767
LUD38,Cladoceran,Bythotrephes longimanus,S,1.876868658,4.290715639,3.665092753,6.167584297,43.88725,-86.917617
LUD38,Cladoceran,Bosmina longirostris,S,0.938434329,NA,NA,0.938434329,43.88725,-86.917617
LUD38,Cladoceran,Daphnia galeata mendotae,S,7.507474633,NA,NA,7.507474633,43.88725,-86.917617
LUD38,ImmatureCyclopoid,Cyclops copepodites,S,35.19128734,2078.479865,2066.749436,2113.671152,43.88725,-86.917617
LUD38,ImmatureCalanoid,Calanoid copepodites,S,73.19787767,1771.150206,1746.750914,1844.348084,43.88725,-86.917617
LUD38,ImmatureCalanoid,Epischura copepodites,S,26.74537838,9.210736238,0.295610111,35.95611462,43.88725,-86.917617
LUD38,AdultCyclopoid,Diacyclops thomasi,S,5.630605975,63.21654374,61.33967509,68.84714972,43.88725,-86.917617
LUD38,AdultCalanoid,Leptodiaptomus ashlandi,S,0.938434329,NA,NA,0.938434329,43.88725,-86.917617
LUD38,AdultCalanoid,Leptodiaptomus minutus,S,50.91006236,241.8819429,224.9119222,292.7920053,43.88725,-86.917617
LUD38,AdultCalanoid,Leptodiaptomus minutus,S,50.91006236,241.8819429,224.9119222,292.7920053,43.88725,-86.917617
LUD38,AdultCalanoid,Leptodiaptomus minutus,S,50.91006236,241.8819429,224.9119222,292.7920053,43.88725,-86.917617
LUD38,AdultCalanoid,Leptodiaptomus minutus,S,50.91006236,241.8819429,224.9119222,292.7920053,43.88725,-86.917617
LUD38,AdultCalanoid,Skistodiaptomus oregonensis,S,0.938434329,232.6139972,232.3011857,233.5524315,43.88725,-86.917617
LUD38,AdultCalanoid,Skistodiaptomus oregonensis,S,0.938434329,232.6139972,232.3011857,233.5524315,43.88725,-86.917617
LUD38,AdultCalanoid,Leptodiaptomus sicilis,S,1.876868658,NA,NA,1.876868658,43.88725,-86.917617
LUD38,AdultCalanoid,Epischura lacustris,S,0.938434329,NA,NA,0.938434329,43.88725,-86.917617
LUD38,Rotifera,Ascomorpha spp.,S,20.41094666,NA,NA,20.41094666,43.88725,-86.917617
LUD38,Rotifera,Asplanchna spp,S,10.08816904,NA,NA,10.08816904,43.88725,-86.917617
LUD38,Rotifera,Collotheca spp.,S,346.7514846,2590.047588,2474.46376,2936.799073,43.88725,-86.917617
LUD38,Rotifera,Conochilus unicornis,S,1581.027236,43746.87804,43219.86896,45327.90528,43.88725,-86.917617
LUD38,Rotifera,Gastropus spp.,S,20.41094666,185.1300774,178.3264285,205.5410241,43.88725,-86.917617
LUD38,Rotifera,Kellicottia longispina,S,163.2875733,2290.269589,2235.840398,2453.557162,43.88725,-86.917617
LUD38,Rotifera,Keratella spp.,S,122.46568,NA,NA,122.46568,43.88725,-86.917617
LUD38,Rotifera,Ploesoma truncatum,S,20.41094666,NA,NA,20.41094666,43.88725,-86.917617
LUD38,Rotifera,Polyarthra spp.,S,693.5029692,1232.751208,1001.583551,1926.254177,43.88725,-86.917617
LUD38,Rotifera,Synchaeta spp.,S,40.82189332,NA,NA,40.82189332,43.88725,-86.917617
LUD38,Nauplii,Copepod nauplii,S,2611.193521,3364.779204,2494.381364,5975.972725,43.88725,-86.917617
LUD38,Mollusks,Dreissenid Veligers,S,50.91006236,1352.147522,1335.177501,1403.057584,43.88725,-86.917617
LUD38,Cladoceran,Bythotrephes longimanus,D,1.876868658,4.290715639,3.665092753,6.167584297,43.88725,-86.917617
LUD38,ImmatureCyclopoid,Cyclops copepodites,D,35.19128734,2078.479865,2066.749436,2113.671152,43.88725,-86.917617
LUD38,ImmatureCalanoid,Calanoid copepodites,D,73.19787767,1771.150206,1746.750914,1844.348084,43.88725,-86.917617
LUD38,ImmatureCalanoid,Epischura copepodites,D,26.74537838,9.210736238,0.295610111,35.95611462,43.88725,-86.917617
LUD38,AdultCyclopoid,Diacyclops thomasi,D,5.630605975,63.21654374,61.33967509,68.84714972,43.88725,-86.917617
LUD38,AdultCalanoid,Leptodiaptomus minutus,D,50.91006236,241.8819429,224.9119222,292.7920053,43.88725,-86.917617
LUD38,AdultCalanoid,Leptodiaptomus minutus,D,50.91006236,241.8819429,224.9119222,292.7920053,43.88725,-86.917617
LUD38,AdultCalanoid,Leptodiaptomus minutus,D,50.91006236,241.8819429,224.9119222,292.7920053,43.88725,-86.917617
LUD38,AdultCalanoid,Leptodiaptomus minutus,D,50.91006236,241.8819429,224.9119222,292.7920053,43.88725,-86.917617
LUD38,AdultCalanoid,Skistodiaptomus oregonensis,D,0.938434329,232.6139972,232.3011857,233.5524315,43.88725,-86.917617
LUD38,AdultCalanoid,Skistodiaptomus oregonensis,D,0.938434329,232.6139972,232.3011857,233.5524315,43.88725,-86.917617
LUD38,Rotifera,Collotheca spp.,D,346.7514846,2590.047588,2474.46376,2936.799073,43.88725,-86.917617
LUD38,Rotifera,Conochilus unicornis,D,1581.027236,43746.87804,43219.86896,45327.90528,43.88725,-86.917617
LUD38,Rotifera,Gastropus spp.,D,20.41094666,185.1300774,178.3264285,205.5410241,43.88725,-86.917617
LUD38,Rotifera,Kellicottia longispina,D,163.2875733,2290.269589,2235.840398,2453.557162,43.88725,-86.917617
LUD38,Rotifera,Polyarthra spp.,D,693.5029692,1232.751208,1001.583551,1926.254177,43.88725,-86.917617
LUD38,Nauplii,Copepod nauplii,D,2611.193521,3364.779204,2494.381364,5975.972725,43.88725,-86.917617
LUD38,Mollusks,Dreissenid Veligers,D,50.91006236,1352.147522,1335.177501,1403.057584,43.88725,-86.917617
LUD5,Cladoceran,Cercopagis pengoi,S,3.158114666,14.44536997,13.23071048,17.60348464,43.94255,-86.524
LUD5,Cladoceran,Bosmina longirostris,S,892.3428439,530.7833617,187.5745756,1423.126206,43.94255,-86.524
LUD5,Cladoceran,Chydorus spp,S,4.210819554,7.054715567,5.435169585,11.26553512,43.94255,-86.524
LUD5,ImmatureCalanoid,Calanoid copepodites,S,8.070737479,747.7998501,744.6957203,755.8705876,43.94255,-86.524
LUD5,ImmatureCalanoid,Epischura copepodites,S,40.70458903,30.23449529,14.57888412,70.93908431,43.94255,-86.524
LUD5,AdultCyclopoid,Tropocyclops prasinus mexicanus,S,4.210819554,NA,NA,4.210819554,43.94255,-86.524
LUD5,AdultCalanoid,Leptodiaptomus minutus,S,16.49237659,752.2790346,745.9358128,768.7714112,43.94255,-86.524
